,ta,rh,vel,met,clo,thermal_sensation
0,22.3,61.0,0.03,1.706484641638225,0.95,2.0
1,23.0,59.0,0.08,1.1092150170648465,1.07,2.0
2,22.0,61.0,0.04,1.2116040955631395,0.88,0.0
3,23.2,58.0,0.03,1.7747440273037542,0.59,0.0
4,22.2,62.0,0.15,1.484641638225256,0.8300000000000001,0.0
5,21.2,65.0,0.15,1.501706484641638,0.6599999999999999,-1.0
6,21.9,62.0,0.06,1.331058020477816,1.02,1.0
7,21.4,65.0,0.03,1.331058020477816,0.71,-3.0
8,21.6,63.0,0.25,1.2627986348122866,1.1,1.0
9,21.3,64.0,0.05,1.4675767918088738,0.6799999999999999,0.0
10,21.8,57.0,0.13,1.331058020477816,1.1,-1.0
11,21.5,58.0,0.0899999999999999,1.194539249146758,0.76,0.0
12,22.8,53.0,0.15,1.621160409556314,0.6599999999999999,1.0
13,23.0,46.0,0.08,1.2969283276450512,0.95,2.0
14,24.1,32.0,0.25,1.1092150170648465,1.05,2.0
15,22.4,36.0,0.0899999999999999,1.1092150170648465,1.4199999999999997,2.0
16,22.1,38.0,0.03,0.9385665529010238,1.1,1.0
17,23.6,34.0,0.08,0.9897610921501708,0.96,2.0
18,22.7,37.0,0.08,1.006825938566553,1.56,2.0
19,18.7,46.0,0.08,0.9385665529010238,1.6299999999999997,-1.0
20,21.9,38.0,0.19,1.1092150170648465,1.1,0.0
21,21.8,38.0,0.17,1.1604095563139931,0.7899999999999999,1.0
22,21.4,39.0,0.15,1.1092150170648465,1.03,0.0
23,23.6,33.0,0.0899999999999999,1.0409556313993171,0.6,2.0
24,21.6,39.0,0.11,0.9385665529010238,0.82,0.0
25,24.1,34.0,0.18,1.2969283276450512,1.08,2.0
26,21.6,39.0,0.08,1.2627986348122866,1.1,2.0
27,22.6,34.0,0.13,1.0238907849829348,1.02,1.0
28,22.4,33.0,0.17,1.2969283276450512,0.93,0.0
29,20.7,41.0,0.05,0.9385665529010238,1.04,-1.0
30,21.7,38.0,0.15,1.1092150170648465,1.4199999999999997,1.0
31,21.8,38.0,0.08,0.9385665529010238,0.99,-1.0
32,22.6,38.0,0.36,1.3993174061433449,1.1299999999999997,0.0
33,21.3,41.0,0.2,1.36518771331058,0.93,-1.0
34,17.2,55.0,0.1,1.36518771331058,0.81,-1.0
35,20.7,49.0,0.05,1.36518771331058,0.89,-1.0
36,21.1,47.0,0.08,1.0238907849829348,0.82,-2.0
37,20.7,49.0,0.08,1.0238907849829348,1.1799999999999995,-1.0
38,24.1,37.0,0.12,1.1092150170648465,1.4199999999999997,2.0
39,21.1,46.0,0.08,0.9897610921501708,0.95,0.0
40,25.0,38.0,0.1,1.1604095563139931,0.6799999999999999,1.0
41,16.9,57.0,0.1,1.1092150170648465,1.1,-2.0
42,20.0,51.0,0.03,1.1092150170648465,1.1,0.0
43,23.6,44.0,0.08,1.706484641638225,1.07,3.0
44,23.7,44.0,0.0899999999999999,0.9385665529010238,1.03,0.0
45,24.2,42.0,0.07,1.1092150170648465,0.97,2.0
46,24.4,42.0,0.12,1.348122866894198,0.82,0.0
47,23.9,43.0,0.0899999999999999,1.5529010238907852,0.63,0.0
48,18.9,56.0,0.06,0.9385665529010238,1.29,-1.0
49,19.2,54.0,0.05,1.0580204778156996,0.99,0.0
50,21.8,48.0,0.03,1.962457337883959,1.07,1.0
51,22.6,45.0,0.24,1.0580204778156996,1.1,0.0
52,23.4,29.0,0.16,1.2286689419795225,0.95,2.0
53,23.3,28.0,0.11,1.5529010238907852,1.04,2.0
54,23.4,25.0,0.13,1.1092150170648465,1.08,-3.0
55,23.4,25.0,0.14,1.5870307167235491,0.6,0.0
56,23.0,24.0,0.2,1.1433447098976108,0.8300000000000001,0.0
57,20.3,33.0,0.03,1.1092150170648465,1.2,0.0
58,24.1,21.0,0.26,1.2627986348122866,0.93,1.0
59,23.0,37.0,0.06,1.4505119453924913,0.88,2.0
60,23.1,37.0,0.07,1.706484641638225,1.23,2.0
61,23.1,37.0,0.02,1.1092150170648465,1.07,2.0
62,21.5,39.0,0.07,1.3993174061433449,0.6899999999999998,1.0
63,23.5,35.0,0.02,0.9385665529010238,1.2,1.0
64,23.1,37.0,0.06,1.0409556313993171,0.77,1.0
65,23.1,37.0,0.06,1.1092150170648465,1.21,1.0
66,23.3,35.0,0.01,1.006825938566553,1.1299999999999997,2.0
67,21.7,40.0,0.01,1.2969283276450512,1.02,0.0
68,23.1,24.0,0.06,1.1604095563139931,0.8700000000000001,0.0
69,20.9,26.0,0.02,0.9726962457337884,0.77,-1.0
70,23.3,24.0,0.0899999999999999,1.245733788395904,0.7799999999999999,2.0
71,20.6,26.0,0.02,0.9385665529010238,1.1899999999999995,0.0
72,21.6,26.0,0.06,1.2627986348122866,0.82,0.0
73,21.1,26.0,0.04,1.1092150170648465,0.8700000000000001,1.0
74,20.7,26.0,0.02,1.1092150170648465,1.4399999999999995,1.0
75,21.0,30.0,0.04,1.0580204778156996,1.1299999999999997,0.0
76,20.9,31.0,0.06,0.9385665529010238,1.02,-1.0
77,20.6,29.0,0.17,0.9385665529010238,1.4199999999999997,2.0
78,20.7,32.0,0.02,1.1092150170648465,1.35,-1.0
79,18.9,39.0,0.08,1.245733788395904,0.8500000000000001,1.0
80,23.3,36.0,0.05,0.9385665529010238,0.88,1.0
81,23.3,36.0,0.01,1.501706484641638,0.93,2.0
82,23.1,42.0,0.04,0.9897610921501708,0.96,2.0
83,23.6,43.0,0.11,1.075085324232082,1.12,1.0
84,23.4,42.0,0.04,1.0452218430034128,0.8400000000000001,1.0
85,22.5,43.0,0.05,0.9385665529010238,0.88,0.0
86,23.3,42.0,0.03,1.0303754266211609,1.11,1.0
87,24.3,41.0,0.02,1.414334470989761,1.01,2.0
88,23.3,42.0,0.03,1.6051194539249145,0.72,1.0
89,22.8,42.0,0.04,1.0303754266211609,1.02,1.0
90,22.4,43.0,0.04,1.1092150170648465,1.1,1.0
91,21.0,48.0,0.06,1.3215017064846413,0.97,1.0
92,24.2,37.0,0.02,1.164675767918089,0.8500000000000001,2.0
93,24.4,38.0,0.01,1.062286689419795,0.93,2.0
94,24.1,39.0,0.0899999999999999,0.9641638225255974,0.98,1.0
95,24.0,37.0,0.02,1.1689419795221845,0.71,1.0
96,24.0,38.0,0.04,1.2158703071672352,0.93,3.0
97,22.6,39.0,0.03,0.985494880546075,0.9,1.0
98,21.4,43.0,0.06,1.1092150170648465,0.99,0.0
99,23.9,38.0,0.03,1.0303754266211609,0.97,2.0
100,23.4,37.0,0.03,1.3395904436860069,1.08,1.0
101,23.9,38.0,0.01,1.1916382252559723,1.1,0.0
102,25.1,36.0,0.03,1.3011945392491464,1.12,1.0
103,25.0,36.0,0.01,0.9385665529010238,0.92,2.0
104,27.6,28.0,0.38,1.36518771331058,0.6,1.0
105,23.2,35.0,0.37,0.9385665529010238,0.4900000000000001,1.0
106,21.6,42.0,0.18,1.0238907849829348,1.09,-1.0
107,24.0,37.0,0.01,0.985494880546075,0.62,0.0
108,22.6,44.0,0.08,1.0238907849829348,0.74,0.0
109,27.5,27.0,0.08,1.629692832764505,0.74,2.0
110,25.1,39.0,0.05,0.955631399317406,0.76,2.0
111,25.4,39.0,0.01,1.0196245733788396,0.63,1.0
112,24.4,41.0,0.32,1.36518771331058,0.6,0.0
113,21.8,45.0,0.22,1.1732081911262802,0.59,-1.0
114,24.9,38.0,0.07,1.3225255972696244,0.8,1.0
115,23.3,43.0,0.13,1.1092150170648465,0.91,0.0
116,22.0,45.0,0.63,1.1988054607508534,0.53,0.0
117,24.8,39.0,0.07,1.3865187713310585,0.62,0.0
118,23.4,44.0,0.08,1.1092150170648465,0.74,0.0
119,24.8,39.0,0.05,1.2798634812286689,0.8300000000000001,0.0
120,24.0,42.0,0.18,1.3187713310580205,0.97,2.0
121,24.1,49.0,0.1,1.36518771331058,0.6699999999999999,2.0
122,24.7,47.0,0.01,1.2319112627986346,0.76,0.0
123,24.5,48.0,0.1,0.9385665529010238,0.6799999999999999,0.0
124,24.5,49.0,0.01,1.36518771331058,0.6,2.0
125,24.3,45.0,0.01,2.0211604095563143,0.6899999999999998,1.0
126,22.6,54.0,0.32,1.0238907849829348,0.7799999999999999,-1.0
127,23.5,50.0,0.01,1.1092150170648465,0.76,0.0
128,24.6,45.0,0.01,1.1092150170648465,0.74,0.0
129,23.5,50.0,0.03,1.4186006825938564,0.63,1.0
130,25.3,50.0,0.01,1.0921501706484644,0.76,2.0
131,25.2,50.0,0.01,1.446245733788396,0.82,1.0
132,25.3,51.0,0.06,1.1305460750853242,0.6799999999999999,0.0
133,24.7,52.0,0.07,1.36518771331058,0.71,1.0
134,24.8,51.0,0.04,1.0571672354948805,0.53,1.0
135,21.7,60.0,0.01,1.1092150170648465,0.76,0.0
136,24.3,51.0,0.05,1.0921501706484644,0.92,0.0
137,24.4,53.0,0.02,1.4334470989761092,0.74,1.0
138,20.1,67.0,0.02,1.271843003412969,0.46,0.0
139,26.2,25.0,0.01,1.3931740614334471,0.76,2.0
140,26.0,29.0,0.12,1.207337883959044,0.76,2.0
141,23.9,44.0,0.12,1.36518771331058,0.6,1.0
142,26.1,26.0,0.01,1.102901023890785,0.77,2.0
143,24.9,27.0,0.08,1.1092150170648465,0.6799999999999999,
144,26.7,27.0,0.44,1.3011945392491464,0.8300000000000001,1.0
145,22.9,31.0,0.26,1.194539249146758,0.62,0.0
146,24.4,33.0,0.08,1.1092150170648465,0.74,0.0
147,25.6,28.0,0.06,1.1732081911262802,0.63,2.0
148,25.3,31.0,0.11,1.3865187713310585,0.92,0.0
149,26.6,26.0,0.05,1.4783276450511942,0.74,2.0
150,24.7,42.0,0.07,1.36518771331058,0.76,2.0
151,24.7,44.0,0.01,1.3887372013651875,0.76,0.0
152,24.7,42.0,0.02,1.156143344709898,0.76,0.0
153,23.4,47.0,0.04,1.36518771331058,0.71,1.0
154,24.5,43.0,0.06,1.0482935153583617,1.03,3.0
155,21.4,51.0,0.0899999999999999,1.1092150170648465,0.81,0.0
156,23.9,44.0,0.01,1.1092150170648465,0.74,0.0
157,24.5,43.0,0.05,1.5358361774744025,0.88,-1.0
158,23.9,44.0,0.12,0.9385665529010238,0.74,0.0
159,21.2,51.0,0.08,1.1873720136518773,0.88,0.0
160,25.1,41.0,0.05,1.32679180887372,0.76,2.0
161,24.8,51.0,0.05,1.7918088737201363,0.74,0.0
162,25.5,48.0,0.11,1.36518771331058,0.6,1.0
163,20.5,52.0,0.7,1.0238907849829348,0.5800000000000001,-1.0
164,24.6,51.0,0.2,0.9385665529010238,0.62,0.0
165,22.2,52.0,0.1,1.122013651877133,0.82,-1.0
166,25.4,48.0,0.03,1.612627986348123,0.8500000000000001,1.0
167,24.6,44.0,0.05,1.002559726962457,0.71,0.0
168,24.6,54.0,0.02,1.1092150170648465,0.74,0.0
169,24.2,52.0,0.05,1.6477815699658704,0.63,1.0
170,20.9,41.0,0.14,1.3822525597269628,0.8700000000000001,0.0
171,21.3,39.0,0.19,1.36518771331058,0.59,-1.0
172,21.1,39.0,0.15,1.267064846416382,0.6,-1.0
173,21.1,39.0,0.15,1.706484641638225,0.26,-1.0
174,21.1,39.0,0.15,1.1262798634812288,0.74,0.0
175,21.1,39.0,0.2,1.164675767918089,1.07,2.0
176,21.1,39.0,0.2,1.164675767918089,0.8500000000000001,0.0
177,21.1,39.0,0.11,1.0571672354948805,0.8500000000000001,-2.5
178,21.1,39.0,0.11,0.9385665529010238,0.26,-2.0
179,21.3,36.0,0.14,1.3187713310580205,0.93,0.0
180,20.9,41.0,0.14,1.032423208191126,0.44,-1.0
181,21.3,36.0,0.14,1.877133105802048,0.59,-3.0
182,21.3,36.0,0.14,1.0238907849829348,0.6799999999999999,-2.5
183,22.6,34.0,0.19,1.167747440273038,0.63,2.0
184,22.6,34.0,0.19,1.3215017064846413,0.71,-1.0
185,23.2,32.0,0.39,1.1433447098976108,0.59,1.0
186,23.2,32.0,0.39,1.1092150170648465,0.6799999999999999,0.0
187,23.2,32.0,0.39,1.1092150170648465,0.62,1.0
188,23.3,32.0,0.29,1.164675767918089,0.6799999999999999,0.0
189,23.3,32.0,0.29,1.7918088737201363,0.54,2.0
190,23.1,33.0,0.08,1.706484641638225,0.57,1.0
191,20.9,41.0,0.14,1.5815699658703073,0.51,0.0
192,23.1,33.0,0.08,1.164675767918089,0.44,1.0
193,22.4,32.0,0.19,0.985494880546075,0.8,0.5
194,21.8,33.0,0.14,1.032423208191126,0.7,2.0
195,21.8,33.0,0.14,0.985494880546075,0.6699999999999999,-1.0
196,21.8,33.0,0.14,1.634982935153584,0.7,1.0
197,21.2,34.0,0.17,1.164675767918089,1.04,0.0
198,21.1,39.0,0.13,1.2677474402730375,0.76,0.0
199,21.1,39.0,0.13,1.4761092150170645,0.76,-1.0
200,21.1,39.0,0.13,1.7918088737201363,1.4399999999999995,0.0
201,20.8,40.0,0.14,1.1916382252559723,0.82,0.0
202,21.9,33.0,0.16,1.2095563139931738,0.99,-1.0
203,20.8,34.0,0.14,1.7022184300341296,1.1299999999999997,-2.0
204,22.6,41.0,0.15,0.9812286689419796,0.6899999999999998,0.0
205,22.7,41.0,0.13,1.6552901023890785,0.57,-2.0
206,22.7,41.0,0.18,1.238907849829351,1.23,1.0
207,22.7,41.0,0.2,1.348122866894198,0.38,-1.0
208,22.7,41.0,0.2,1.2798634812286689,0.4300000000000001,1.0
209,22.6,40.0,0.18,1.3225255972696244,0.4,1.0
210,22.6,40.0,0.18,1.204948805460751,1.22,-1.0
211,20.9,42.0,0.14,0.9385665529010238,0.7799999999999999,-1.0
212,22.6,41.0,0.21,1.2201365187713311,0.91,1.0
213,22.6,41.0,0.21,1.1092150170648465,0.6799999999999999,2.5
214,22.7,40.0,0.16,1.4783276450511942,0.82,0.0
215,22.7,40.0,0.16,1.1092150170648465,1.1299999999999997,0.0
216,22.1,41.0,0.19,1.496245733788396,0.6599999999999999,1.0
217,21.6,43.0,0.17,0.9385665529010238,0.6799999999999999,-1.0
218,21.8,43.0,0.12,1.2201365187713311,0.95,-2.0
219,21.8,43.0,0.12,1.548634812286689,0.95,2.0
220,21.8,43.0,0.12,1.962457337883959,0.52,1.0
221,21.7,44.0,0.16,1.1518771331058022,0.51,-1.0
222,20.9,42.0,0.14,1.877133105802048,0.62,0.0
223,21.5,44.0,0.13,1.4334470989761092,0.92,-3.0
224,21.5,44.0,0.13,0.9982935153583616,0.63,-1.0
225,21.9,43.0,0.16,1.3281569965870308,0.62,-1.0
226,21.9,43.0,0.16,1.1774744027303754,0.75,-1.0
227,22.3,42.0,0.17,1.2372013651877132,1.04,0.0
228,22.3,42.0,0.17,1.2061433447098977,1.1799999999999995,1.0
229,22.3,42.0,0.17,1.164675767918089,0.62,1.0
230,22.3,42.0,0.17,1.4163822525597267,0.57,-2.0
231,22.3,42.0,0.17,1.2627986348122866,0.71,0.0
232,22.2,41.0,0.16,1.3215017064846413,0.6799999999999999,0.0
233,20.9,42.0,0.14,0.985494880546075,1.78,-2.0
234,22.2,41.0,0.16,1.2585324232081911,0.6899999999999998,0.0
235,22.0,42.0,0.16,1.1092150170648465,0.73,-1.0
236,22.4,40.0,0.18,1.2627986348122866,0.62,1.0
237,22.4,40.0,0.18,1.1092150170648465,0.4900000000000001,0.0
238,22.4,40.0,0.18,1.1092150170648465,0.7799999999999999,2.0
239,22.4,40.0,0.18,1.6472696245733789,0.41,0.0
240,22.4,40.0,0.18,1.142320819112628,0.57,0.0
241,23.3,38.0,0.22,1.1988054607508534,0.74,0.0
242,23.3,38.0,0.22,1.2585324232081911,1.3,0.0
243,20.9,42.0,0.14,1.164675767918089,0.7899999999999999,-1.0
244,23.3,38.0,0.22,1.2201365187713311,0.74,2.0
245,23.3,38.0,0.22,1.4032423208191125,0.82,1.0
246,23.5,36.0,0.1,1.1732081911262802,1.07,2.0
247,23.5,36.0,0.1,1.2436860068259386,0.96,0.0
248,23.5,36.0,0.1,1.7926621160409557,0.71,2.0
249,23.6,36.0,0.26,1.0238907849829348,0.6699999999999999,0.0
250,20.5,41.0,0.18,1.2201365187713311,0.57,-1.0
251,20.5,41.0,0.18,1.1569965870307166,0.73,-1.0
252,21.3,39.0,0.19,1.276621160409556,0.61,1.0
253,23.27333333333332,40.54886450145097,0.0716666666666666,1.0,0.5907600000000001,0.0
254,23.079999999999995,38.04643751326787,0.0646666666666666,1.0,0.5907600000000001,2.3
255,22.81,37.682440525826856,0.067,1.0,1.12476,1.0
256,22.823333333333323,35.90293526445099,0.0726666666666666,1.2,1.12476,0.0
257,22.88333333333333,37.2848380651207,0.0846666666666666,1.0,0.95172,0.0
258,22.78,36.064359280342345,0.0636666666666666,1.0,0.95172,1.0
259,22.89333333333332,37.28778086258201,0.0996666666666666,1.2,0.7045199999999997,1.0
260,22.94666666666667,40.44438303127309,0.0573333333333333,1.0,0.6235799999999999,-1.0
261,22.846666666666668,37.59876643685549,0.0603333333333333,1.0,0.6235799999999999,-0.5
262,23.046666666666663,38.3841553623033,0.067,1.2,0.76632,0.0
263,23.003333333333323,38.59004606486163,0.1253333333333333,1.0,0.77868,-1.0
264,22.8,36.30921309615694,0.058,1.0,0.7415999999999998,0.0
265,23.403333333333325,37.28478109709715,0.134,1.0,0.8281200000000002,-0.5
266,22.96333333333332,36.95236190969481,0.0899999999999999,1.2,1.03824,2.0
267,22.866666666666664,39.84876962809162,0.0646666666666666,1.0,0.70016,-0.5
268,22.513333333333325,36.89585121873491,0.056,1.0,0.70016,0.0
269,23.79333333333332,40.26398460473185,0.0806666666666666,1.2,0.5314799999999998,0.5
270,23.71,38.56990734117853,0.065,1.0,0.5314799999999998,0.0
