ta,rh,vel,met,clo,thermal_sensation,gender
26.2,56.3,0,0.7,0.78,0,female
26.6,48.7,0,0.7,0.69,0,female
25.7,55.2,0,0.7,0.51,0,female
25.5,53.6,0,0.7,0.48,-1,male
28.5,57.5,0,0.7,0.44,1,female
25.4,47.5,0,0.7,0.44,0,female
28.7,51.1,0,0.7,0.44,-1,female
29.2,45,0,0.7,0.29,0,female
25.9,46.7,0,0.7,0.29,-1,female
18.9,62,0,0.8,1.7,-1,male
19.5,64.4,0,0.8,1.15,-1,male
28.2,84.6,0,0.8,0.54,-1,male
28.1,86.6,0,0.8,0.53,0,male
29.2,83.1,0,0.8,0.53,-1,male
27.9,23,0,0.8,0.47,-1,male
27.7,94.2,0,0.8,0.46,-1,male
23,34.16555556,0,0.8,0.39,0,female
28,32.11222222,0,0.8,0.39,0,female
27.5,27.59555556,0,0.8,0.39,1,female
26,30.40444444,0,0.8,0.39,1,female
26.5,30.40444444,0,0.8,0.39,0,female
26.5,32.59555556,0,0.8,0.39,0,female
25,43,0,0.8,0.39,0,female
27,36.59555556,0,0.8,0.39,1,female
26.5,38,0,0.8,0.39,1,female
26,43,0,0.8,0.39,0,female
26,41.78666667,0,0.8,0.39,0,female
25.5,43,0,0.8,0.39,0,female
29,34.22222222,0,0.8,0.39,1,female
28.5,33.32222222,0,0.8,0.39,0,female
27.5,27.59555556,0,0.8,0.39,0,male
26,30.40444444,0,0.8,0.39,-1,male
25.5,43,0,0.8,0.39,0,male
25.5,43,0,0.8,0.39,0,male
30.3,67.2,0,0.8,0.27,0,male
28,87.1,0,0.8,0.27,-1,male
31.1,74.3,0,0.8,0.19,1,male
13.5,57.5,0,0.85,1.72,-2,female
11.8,44.2,0,0.85,1.7,-2,female
13.2,63.6,0,0.85,1.7,-3,female
15.5,47.5,0,0.85,1.46,-1,male
22.7,83.2,0,0.85,0.41,0,male
11,51.8,0,0.887372014,1.48753899,-2,male
12.8,62.3,0,0.887372014,1.27973984,-2,male
14.6,64.4,0,0.887372014,1.0418,-2,male
14.6,67.7,0,0.887372014,1.0418,-2,male
14.6,69.7,0,0.887372014,1.0418,-2,male
31.3,45.3,0,0.887372014,0.98301,3,female
33.2,50.3,0,0.887372014,0.96187,2,female
31.3,59.2,0,0.9,2.25,1,male
12.9,57.6,0,0.9,1.71,-2,male
25.1,39.9,0,0.9,0.93,-1,female
28.3,47.4,0,0.9,0.93,1,female
26.4,26.6,0,0.9,0.93,0,female
28.6,46,0,0.9,0.93,-1,female
25,54.4,0,0.9,0.88,-1,female
25.8,41.9,0,0.9,0.78,0,female
28.2,59.4,0,0.9,0.78,-1,female
26.2,48.3,0,0.9,0.78,0,female
24.9,43.8,0,0.9,0.74,-1,female
25.2,47.4,0,0.9,0.74,-1,female
26,54.5,0,0.9,0.71,-1,female
25.8,43.7,0,0.9,0.71,0,female
24.6,48.8,0,0.9,0.71,0,female
25.7,43.7,0,0.9,0.71,0,female
29.1,45.1,0,0.9,0.71,0,male
30.3,44.9,0,0.9,0.7,-1,female
25.6,49,0,0.9,0.69,-1,female
28.9,52.4,0,0.9,0.69,0,male
26.1,52.2,0,0.9,0.66,0,female
26.2,50,0,0.9,0.66,0,female
27.9,47.5,0,0.9,0.58,-1,female
25.3,58.9,0,0.9,0.56,-1,female
27.1,55.9,0,0.9,0.56,-1,female
30.6,62.5,0,0.9,0.56,0,female
30.2,48.4,0,0.9,0.56,-1,female
28.4,51.3,0,0.9,0.55,-1,male
26,57.1,0,0.9,0.55,-1,male
26.1,55.2,0,0.9,0.54,-1,male
28.4,61.9,0,0.9,0.48,-1,male
28.5,62.3,0,0.9,0.48,-1,male
26.3,51.7,0,0.9,0.48,0,male
26,45,0,0.9,0.48,-1,male
26.3,56.8,0,0.9,0.46,-1,female
26.8,47.2,0,0.9,0.46,0,female
24.9,42.2,0,0.9,0.44,-1,female
32,69,0,0.9,0.44,1,female
28.9,47.3,0,0.9,0.44,-1,male
24.9,41.3,0,0.9,0.42,0,female
30.8,75,0,0.9,0.4,0,female
28.4,59.2,0,0.9,0.39,-1,female
28.6,62.3,0,0.9,0.39,0,female
25.8,39.5,0,0.9,0.39,0,female
27.4,83.5,0,0.9,0.37,0,female
33.3,64.8,0,0.9,0.33,3,female
29.1,72,0,0.9,0.33,-2,female
28.7,78,0,0.9,0.33,0,female
30.2,72.2,0,0.9,0.32,0,female
26,48.6,0,0.9,0.3,0,male
28.6,61.6,0,0.9,0.29,0,female
25,46.9,0,0.9,0.29,-1,female
25.3,50.3,0,0.9,0.29,0,female
25.3,55.7,0,0.9,0.29,-1,female
28.6,61.8,0,0.9,0.29,0,male
33.6,61.6,0,0.9,0.29,2,male
29.2,48.9,0,0.9,0.29,0,male
28.5,84.3,0,0.9,0.26,0,male
28.8,78.7,0,0.9,0.26,0,male
28.4,61.9,0,0.9,0.25,-1,male
28.7,73.5,0,0.9,0.22,-2,female
29.9,79.6,0,0.9,0.22,0,female
29,78.4,0,0.9,0.18,1,female
28.5,84.3,0,0.9,0.17,0,male
28.5,77.7,0,0.9,0.15,-3,male
27.3,81.5,0,0.9,0.12,0,male
14.5,56.8,0,0.95,1.4,-2,female
23.8,81.6,0,0.95,0.63,0,female
23.8,81.6,0,0.95,0.63,1,female
14.4,72.1,0,0.98,0.9,0,male
34,50.4,0,1,2,-2,female
31,61.3,0,1,2,-1,female
13.6,70.3,0,1,1.82,0,female
21.3,36.4,0,1,1.57,0,female
10.9,47.5,0,1,1.33,-2,male
24,28,0,1,1.2,2,female
17.6,55.9,0,1,1.19,-1,male
18.4,59.7,0,1,1.19,0,male
17.5,59.5,0,1,1.19,-1,male
